measurement_no,specimen_no,record_type,n_measured,position,measurement_type,average,min,max
22196,11057,mea,1,,height,37.18,,
22197,11058,mea,1,,diagonal,33.54,,
22198,11058,mea,1,,length,35.87,,
22199,11058,mea,1,,height,33.54,,
22200,11059,mea,1,,length,38.97,,
22201,11059,mea,1,,height,33.05,,
22202,11060,mea,1,,diagonal,25.11,,
22203,11060,mea,1,,length,26.7,,
22204,11060,mea,1,,height,23.73,,
22714,11274,mea,1,,width,42.4,,
22715,11274,mea,1,,length,30.73,,
22716,11275,mea,1,,width,36.62,,
22717,11275,mea,1,,length,31.38,,
22718,11276,mea,1,,width,22.15,,
22719,11276,mea,1,,length,34.51,,
22720,11277,mea,1,,width,27.93,,
22721,11277,mea,1,,length,21.24,,
22722,11278,mea,1,,width,27.24,,
22723,11278,mea,1,,length,20.56,,
22724,11279,mea,1,,width,27.46,,
22725,11279,mea,1,,length,27.63,,
22726,11280,mea,1,,width,26.69,,
22727,11280,mea,1,,length,18.76,,
22728,11281,mea,1,,length,41.19,,
22729,11281,mea,1,,width,59.37,,
22730,11282,mea,1,,width,28.14,,
22731,11282,mea,1,,length,30.62,,
22732,11283,mea,1,,width,35.74,,
22733,11283,mea,1,,length,44.29,,
22734,11284,mea,1,,width,27.84,,
22735,11284,mea,1,,length,21.12,,
22736,11285,mea,1,,width,45.1,,
22737,11285,mea,1,,length,25.28,,
22738,11286,mea,1,,width,24.99,,
22739,11286,mea,1,,length,18.74,,
22740,11287,mea,1,,width,30.55,,
22741,11287,mea,1,,length,18.96,,
22742,11288,mea,1,,length,14.56,,
22743,11288,mea,1,,width,25.35,,
22744,11289,mea,1,,length,17.43,,
22745,11289,mea,1,,width,25.96,,
22746,11290,mea,1,,length,19.28,,
22747,11290,mea,1,,width,29.87,,
22748,11291,mea,1,,length,17.38,,
22749,11291,mea,1,,width,24.04,,
22750,11292,mea,1,,length,20.54,,
22751,11292,mea,1,,width,40.14,,
22752,11293,mea,1,,length,13.9,,
22753,11293,mea,1,,width,30.99,,
22754,11294,mea,1,,length,20.41,,
22755,11294,mea,1,,width,24.88,,
22756,11295,mea,1,,length,13.94,,
22757,11295,mea,1,,width,22.39,,
22758,11296,mea,1,,length,19.16,,
22759,11296,mea,1,,width,20.25,,
22760,11297,mea,1,,length,29.83,,
22761,11298,mea,1,,width,38.52,,
22762,11298,mea,1,,length,29.36,,
22763,11299,mea,1,,width,22.51,,
22764,11299,mea,1,,length,15.68,,
22765,11300,mea,1,,width,21.17,,
22766,11300,mea,1,,length,17.3,,
22767,11301,mea,1,,length,37.58,,
22768,11301,mea,1,,width,28.66,,
22769,11302,mea,1,,length,32.36,,
22770,11302,mea,1,,width,27.82,,
22771,11303,mea,1,,length,37.55,,
22772,11303,mea,1,,width,21.55,,
22773,11304,mea,1,,width,38.4,,
22774,11304,mea,1,,length,26.4,,
22775,11305,mea,1,,width,23.7,,
22776,11305,mea,1,,length,17.22,,
22777,11306,mea,1,,length,39.39,,
22778,11306,mea,1,,width,42.99,,
22779,11307,mea,1,,width,46.97,,
22780,11308,mea,1,,width,32.21,,
22781,11308,mea,1,,length,28.22,,
22782,11309,mea,1,,width,20.83,,
22783,11309,mea,1,,length,18.98,,
22784,11310,mea,1,,width,28.52,,
22785,11310,mea,1,,length,15.84,,
22786,11311,mea,1,,width,20.78,,
22787,11311,mea,1,,length,16.69,,
22788,11312,mea,1,,width,26.4,,
22789,11312,mea,1,,length,16.27,,
22790,11313,mea,1,,length,32.12,,
22791,11313,mea,1,,width,45.5,,
22792,11314,mea,1,,length,28.37,,
22793,11314,mea,1,,width,43.42,,
22794,11315,mea,1,,width,40.42,,
22795,11315,mea,1,,length,35.02,,
22796,11316,mea,1,,width,29.55,,
22797,11316,mea,1,,length,21.69,,
22798,11317,mea,1,,width,36.15,,
22799,11317,mea,1,,length,29.74,,
22800,11318,mea,1,,width,44.77,,
22801,11318,mea,1,,length,29.62,,
22802,11319,mea,1,,width,22.92,,
22803,11319,mea,1,,length,15.33,,
22804,11320,mea,1,,length,26.88,,
