measurement_no,specimen_no,record_type,n_measured,position,measurement_type,average,min,max
73430,38822,mea,1,,height,2.7,,
73431,38823,mea,1,,width,4,,
73432,38823,mea,1,,length,4.5,,
73433,38823,mea,1,,height,3,,
73434,38824,mea,1,,width,6.3,,
73435,38824,mea,1,,length,6.5,,
73436,38824,mea,1,,height,4,,
73437,38825,mea,1,,width,6.3,,
73438,38825,mea,1,,length,6,,
73439,38825,mea,1,,height,4,,
73440,38826,mea,1,,width,7,,
73441,38826,mea,1,,length,6.8,,
73442,38826,mea,1,,height,4.5,,
73443,38827,mea,1,,width,7.4,,
73444,38827,mea,1,,length,6.4,,
73445,38827,mea,1,,height,4,,
73446,38828,mea,1,,width,6.3,,
73447,38828,mea,1,,length,5.5,,
73448,38828,mea,1,,height,2.6,,
73449,38829,mea,1,,width,7.3,,
73450,38829,mea,1,,length,7.8,,
73451,38829,mea,1,,height,4.3,,
73452,38830,mea,1,,width,9,,
73453,38830,mea,1,,length,9.5,,
73454,38830,mea,1,,height,5.5,,
73455,38831,mea,1,,width,9,,
73456,38831,mea,1,,length,9,,
73457,38831,mea,1,,height,5.5,,
73495,38845,mea,1,,width,1.1,,
73496,38845,mea,1,,length,1.2,,
73497,38845,mea,1,,height,0.5,,
73498,38846,mea,1,,width,1.8,,
73499,38846,mea,1,,length,1.6,,
73500,38846,mea,1,,height,0.8,,
73501,38847,mea,1,,width,1.801,,
73502,38847,mea,1,,length,1.6,,
73503,38847,mea,1,,height,0.6,,
73504,38848,mea,1,,width,1.9,,
73505,38848,mea,1,,length,1.7,,
73506,38848,mea,1,,height,0.7,,
73507,38849,mea,1,,width,2,,
73508,38849,mea,1,,length,1.8,,
73509,38849,mea,1,,height,0.8,,
73510,38850,mea,1,,width,0.7,,
73511,38850,mea,1,,length,0.9,,
73512,38850,mea,1,,height,0.4,,
73513,38851,mea,1,,width,1.1,,
73514,38851,mea,1,,length,1.2,,
73515,38851,mea,1,,height,0.7,,
73516,38852,mea,1,,width,1.4,,
73517,38852,mea,1,,length,1.4,,
73518,38852,mea,1,,height,0.8,,
73519,38853,mea,1,,width,1.6,,
73520,38853,mea,1,,length,1.8,,
73521,38853,mea,1,,height,0.9,,
73522,38854,mea,1,,width,2.1,,
73523,38854,mea,1,,length,2,,
73524,38854,mea,1,,height,1.1,,
73525,38855,mea,1,,width,2,,
73526,38855,mea,1,,length,2.5,,
73527,38855,mea,1,,height,1.3,,
73528,38856,mea,1,,width,3,,
73529,38856,mea,1,,length,2.7,,
73530,38856,mea,1,,height,1.5,,
73531,38857,mea,1,,width,3.2,,
73532,38857,mea,1,,length,3.3,,
73533,38857,mea,1,,height,2,,
73534,38858,mea,1,,width,1,,
73535,38858,mea,1,,length,1.1,,
73536,38858,mea,1,,height,0.7,,
73537,38859,mea,1,,width,1.3,,
73538,38859,mea,1,,length,1.2,,
73539,38859,mea,1,,height,0.6,,
73540,38860,mea,1,,width,1.5,,
73541,38860,mea,1,,length,1.6,,
73542,38860,mea,1,,height,0.8,,
73543,38861,mea,1,,width,2,,
73544,38861,mea,1,,length,2.1,,
73545,38861,mea,1,,height,1.1,,
73546,38862,mea,1,,width,2.2,,
73547,38862,mea,1,,length,2.3,,
73548,38862,mea,1,,height,1.2,,
73549,38863,mea,1,,width,2.6,,
73550,38863,mea,1,,length,2.8,,
73551,38863,mea,1,,height,1.4,,
73552,38864,mea,1,,width,2.7,,
73553,38864,mea,1,,length,3,,
73554,38864,mea,1,,height,1.8,,
73555,38865,mea,1,,width,14.9,,
73556,38865,mea,1,,length,14.8,,
73557,38866,mea,1,,width,5.2,,
73558,38866,mea,1,,length,6.9,,
73559,38867,mea,1,,width,7.3,,
73560,38867,mea,1,,length,7.3,,
73570,38872,mea,1,,width,5.4,,
73571,38872,mea,1,,length,3.7,,
73572,38872,mea,1,,height,3.5,,
73573,38873,mea,1,,width,3.4,,
73574,38873,mea,1,,length,4,,
73575,38874,mea,1,,width,1.5,,
73576,38874,mea,1,,length,1,,
73577,38875,mea,1,,width,1.6,,
73578,38875,mea,1,,length,1.1,,
73579,38876,mea,1,,width,1.3,,
73580,38876,mea,1,,length,1.1,,
73581,38877,mea,1,,width,1.6,,
73582,38877,mea,1,,length,1.2,,
73583,38878,mea,1,,width,3,,
73584,38878,mea,1,,length,2.4,,
73585,38879,mea,1,,width,3.3,,
73586,38879,mea,1,,length,2.5,,
73587,38880,mea,1,,width,4.6,,
73588,38880,mea,1,,length,4.1,,
73589,38881,mea,1,,width,6,,
73590,38881,mea,1,,length,4.4,,
73591,38882,mea,1,,width,6.9,,
73592,38882,mea,1,,length,5,,
73593,38883,mea,1,,width,6.5,,
73594,38883,mea,1,,length,5.4,,
73595,38884,mea,1,,width,4.5,,
73596,38884,mea,1,,length,3.8,,
73597,38884,mea,1,,height,4,,
73598,38885,mea,1,,width,3.8,,
73599,38885,mea,1,,length,4.8,,
73600,38885,mea,1,,height,2,,
73601,38886,mea,1,,width,10,,
73602,38886,mea,1,,length,11.9,,
73603,38887,mea,1,,width,9.6,,
73604,38887,mea,1,,length,13,,
73605,38888,mea,1,,width,9.2,,
73606,38888,mea,1,,length,9.4,,
73611,38889,mea,1,,width,3.2,,
73612,38889,mea,1,,length,3.1,,
73613,38889,mea,1,,height,2.1,,
73614,38890,mea,1,,width,4.4,,
73615,38890,mea,1,,length,3.2,,
73616,38890,mea,1,,height,2.6,,
73617,38891,mea,1,,width,4.6,,
73618,38891,mea,1,,length,3.9,,
73619,38891,mea,1,,height,2.8,,
73620,38892,mea,1,,width,4,,
73621,38892,mea,1,,length,3.7,,
73622,38892,mea,1,,height,2.8,,
73623,38893,mea,1,,width,4.8,,
73624,38893,mea,1,,length,3.9,,
73625,38893,mea,1,,height,4,,
73626,38894,mea,1,,width,4.3,,
73627,38894,mea,1,,length,4.5,,
73628,38894,mea,1,,height,2.6,,
73629,38895,mea,1,,width,4.7,,
73630,38895,mea,1,,length,4.6,,
73631,38895,mea,1,,height,2.8,,
73632,38896,mea,1,,width,5.3,,
73633,38896,mea,1,,length,4.6,,
73634,38896,mea,1,,height,3.6,,
73635,38897,mea,1,,width,5.5,,
73636,38897,mea,1,,length,4.7,,
73637,38897,mea,1,,height,3.9,,
73638,38898,mea,1,,width,6.8,,
73639,38898,mea,1,,length,5.1,,
73640,38898,mea,1,,height,3.2,,
73641,38899,mea,1,,width,5.1,,
73642,38899,mea,1,,length,5.6,,
73643,38900,mea,1,,width,6.7,,
73644,38900,mea,1,,length,6,,
73645,38900,mea,1,,height,5.3,,
73646,38901,mea,1,,width,6.5,,
73647,38901,mea,1,,length,6.7,,
73648,38902,mea,1,,width,2.3,,
73649,38902,mea,1,,length,2.1,,
73650,38902,mea,1,,height,1.6,,
73651,38903,mea,1,,width,4.6,,
73652,38903,mea,1,,length,3.8,,
73653,38903,mea,1,,height,2.5,,
73654,38904,mea,1,,width,5.4,,
73655,38904,mea,1,,length,4,,
73656,38904,mea,1,,height,4,,
73657,38905,mea,1,,width,8,,
73658,38905,mea,1,,length,5.6,,
73659,38905,mea,1,,height,3.1,,
73660,38906,mea,1,,width,7.6,,
73661,38906,mea,1,,length,6.6,,
73662,38906,mea,1,,height,4.1,,
73663,38907,mea,1,,width,9,,
73664,38907,mea,1,,length,7.4,,
73665,38907,mea,1,,height,3.2,,
73666,38908,mea,1,,width,9.2,,
73667,38908,mea,1,,length,7.7,,
73668,38908,mea,1,,height,6.7,,
73669,38909,mea,1,,width,11,,
73670,38909,mea,1,,length,8.2,,
73671,38909,mea,1,,height,5,,
73672,38910,mea,1,,width,13.4,,
73673,38910,mea,1,,length,12,,
73674,38910,mea,1,,height,5.8,,
73675,38911,mea,1,,width,24,,
73676,38911,mea,1,,length,18.8,,
73677,38911,mea,1,,height,7.7,,
73678,38912,mea,1,,width,24,,
73679,38912,mea,1,,length,18.6,,
73680,38912,mea,1,,height,8,,
73681,38913,mea,1,,width,7.7,,
73682,38913,mea,1,,length,5.9,,
73683,38913,mea,1,,height,2.9,,
73684,38914,mea,1,,width,10.9,,
73685,38914,mea,1,,length,7.9,,
73686,38914,mea,1,,height,4.8,,
73687,38915,mea,1,,width,13.1,,
73688,38915,mea,1,,length,12.1,,
73689,38915,mea,1,,height,8.5,,
73690,38916,mea,1,,width,18.5,,
73691,38916,mea,1,,length,12.5,,
73692,38916,mea,1,,height,6.3,,
73693,38917,mea,1,,width,18.2,,
73694,38917,mea,1,,length,14,,
73695,38917,mea,1,,height,7.9,,
73696,38918,mea,1,,width,16.7,,
73697,38918,mea,1,,length,15.7,,
73698,38918,mea,1,,height,7,,
73699,38919,mea,1,,width,29,,
73700,38919,mea,1,,length,20,,
73701,38919,mea,1,,height,8,,
73702,38920,mea,1,,width,26.4,,
73703,38920,mea,1,,length,23.2,,
73704,38920,mea,1,,height,7,,
73705,38921,mea,1,,width,34.5,,
73706,38921,mea,1,,length,27.3,,
73707,38921,mea,1,,height,9,,
73708,38922,mea,1,,width,37.8,,
73709,38922,mea,1,,length,30.7,,
73710,38922,mea,1,,height,8.5,,
73711,38923,mea,1,,width,2.5,,
73712,38923,mea,1,,length,1.4,,
73713,38924,mea,1,,width,3.9,,
73714,38924,mea,1,,length,2.6,,
73715,38925,mea,1,,width,8.7,,
73716,38925,mea,1,,length,8,,
73717,38926,mea,1,,width,20,,
73718,38926,mea,1,,length,16.5,,
73719,38926,mea,1,,height,6.9,,
73720,38927,mea,1,,width,16.1,,
73721,38927,mea,1,,length,20.5,,
73722,38927,mea,1,,height,9,,
73723,38928,mea,1,,width,20.7,,
73724,38928,mea,1,,length,21.5,,
73725,38928,mea,1,,height,9.5,,
73726,38929,mea,1,,width,35.6,,
73727,38929,mea,1,,length,31,,
73728,38929,mea,1,,height,15.5,,
73729,38930,mea,1,,width,3.8,,
73730,38930,mea,1,,length,2.5,,
73731,38931,mea,1,,width,10.8,,
73732,38931,mea,1,,length,8.6,,
73733,38932,mea,1,,width,18.5,,
73734,38932,mea,1,,length,15.5,,
73735,38933,mea,1,,width,33,,
73736,38933,mea,1,,length,22,,
73737,38934,mea,1,,width,49,,
73738,38934,mea,1,,length,34.6,,
73739,38934,mea,1,,height,24,,
73740,38935,mea,1,,width,5.9,,
73741,38935,mea,1,,length,5.8,,
73742,38936,mea,1,,width,6.5,,
73743,38936,mea,1,,length,5.7,,
73744,38937,mea,1,,width,14,,
73745,38937,mea,1,,length,17.5,,
73746,38937,mea,1,,height,10.7,,
73747,38938,mea,1,,width,15.6,,
73748,38938,mea,1,,length,22.4,,
73749,38938,mea,1,,height,23.8,,
73750,38939,mea,1,,width,20.7,,
73751,38939,mea,1,,length,20.5,,
73752,38940,mea,1,,width,23.3,,
73753,38940,mea,1,,length,30.9,,
73754,38940,mea,1,,height,30.9,,
73755,38941,mea,1,,width,25.6,,
73756,38941,mea,1,,length,34,,
73757,38941,mea,1,,height,38,,
73758,38942,mea,1,,width,3.5,,
73759,38942,mea,1,,length,2.4,,
73760,38942,mea,1,,height,2.8,,
73761,38943,mea,1,,width,11.3,,
73762,38943,mea,1,,length,12.4,,
73763,38944,mea,1,,width,19.5,,
73764,38944,mea,1,,length,21.8,,
73765,38944,mea,1,,height,22.2,,
73766,38945,mea,1,,width,38,,
73767,38945,mea,1,,length,33.5,,
73768,38946,mea,1,,width,50,,
73769,38946,mea,1,,length,53.8,,
73770,38946,mea,1,,height,54,,
73771,38947,mea,1,,width,8.2,,
73772,38947,mea,1,,length,6,,
73773,38948,mea,1,,width,12,,
73774,38948,mea,1,,length,8.3,,
73775,38949,mea,1,,width,10.5,,
73776,38949,mea,1,,length,8.3,,
73777,38950,mea,1,,width,21.1,,
73778,38950,mea,1,,length,17.4,,
73779,38951,mea,1,,width,6,,
73780,38951,mea,1,,length,4.3,,
73781,38951,mea,1,,height,4.8,,
73782,38952,mea,1,,width,31.8,,
73783,38952,mea,1,,length,24.2,,
73784,38953,mea,1,,width,20.4,,
73785,38953,mea,1,,length,19.1,,
73786,38953,mea,1,,height,19.5,,
73787,38954,mea,1,,width,51,,
73788,38954,mea,1,,length,46,,
73789,38955,mea,1,,width,48.5,,
73790,38956,mea,1,,width,57.5,,
73791,38956,mea,1,,length,48.2,,
73792,38957,mea,1,,length,3.6,,
73793,38958,mea,1,,length,4.4,,
73794,38959,mea,1,,length,3.5,,
73795,38960,mea,1,,length,0.7,,
73796,38961,mea,1,,length,0.8,,
73797,38962,mea,1,,length,6,,
73798,38963,mea,1,,length,3.9,,
73799,38964,mea,1,,length,3.7,,
73800,38965,mea,1,,length,4.9,,
73801,38966,mea,1,,length,5.8,,
74552,39287,mea,1,,width,7.1,,
74553,39287,mea,1,,length,22.6,,
74554,39288,mea,1,,length,16.2,,
74559,39291,mea,1,,width,1.4,,
74560,39291,mea,1,,length,4.3,,
74561,39292,mea,1,,width,1.2,,
74562,39292,mea,1,,length,3.2,,
74563,39293,mea,1,,length,8.5,,
74564,39294,mea,1,,length,14,,
74596,39316,mea,1,,length,2.4,,
74597,39317,mea,1,,length,1.8,,
74598,39318,mea,1,,width,0.7,,
74599,39318,mea,1,,length,1.5,,
74600,39319,mea,1,,length,2.1,,
76673,40173,mea,1,,width,30,,
76674,40173,mea,1,,length,15.1,,
76675,40174,mea,1,,width,23.5,,
76676,40174,mea,1,,length,19,,
76677,40175,mea,1,,width,22.4,,
76678,40175,mea,1,,length,13.6,,
76679,40176,mea,1,,width,24.1,,
76680,40176,mea,1,,length,13.5,,
76681,40177,mea,1,,width,17.8,,
76682,40177,mea,1,,length,11.8,,
76683,40178,mea,1,,width,36.4,,
76684,40178,mea,1,,length,19.4,,
76685,40179,mea,1,,width,20.9,,
76686,40179,mea,1,,length,15.5,,
76687,40180,mea,1,,width,21,,
76688,40180,mea,1,,length,13.3,,
76729,40195,mea,1,,width,27.4,,
76730,40195,mea,1,,length,15.2,,
76731,40196,mea,1,,width,17.2,,
76732,40196,mea,1,,length,12.4,,
76778,40212,mea,1,,width,28.2,,
76779,40212,mea,1,,length,13.9,,
76801,40220,mea,1,,width,20.4,,
76802,40220,mea,1,,length,15.8,,
76803,40221,mea,1,,width,38.8,,
76804,40221,mea,1,,length,17.6,,
76838,40233,mea,1,,width,16.5,,
76839,40233,mea,1,,length,24.2,,
76849,40237,mea,1,,width,19.7,,
76850,40237,mea,1,,length,13.3,,
76879,40248,mea,1,,width,30.5,,
76880,40248,mea,1,,length,14.5,,
76881,40249,mea,1,,width,21.2,,
76882,40249,mea,1,,length,13,,
76895,40254,mea,1,,width,21.7,,
76896,40254,mea,1,,length,13.9,,
76940,40271,mea,1,,width,22.1,,
76941,40271,mea,1,,length,16.3,,
76942,40272,mea,1,,width,23.4,,
76943,40272,mea,1,,length,11.9,,
77035,40306,mea,1,,width,37.5,,
77036,40306,mea,1,,length,15.4,,
77054,40313,mea,1,,width,37.8,,
77055,40313,mea,1,,length,27.5,,
77056,40314,mea,1,,width,32.8,,
77057,40314,mea,1,,length,17.1,,
77107,40334,mea,1,,width,27.8,,
77108,40334,mea,1,,length,15.8,,
77109,40335,mea,1,,width,28.4,,
77110,40335,mea,1,,length,16.9,,
77186,40361,mea,1,,width,24.8,,
77187,40361,mea,1,,length,25.1,,
77205,40369,mea,1,,width,23.7,,
77206,40369,mea,1,,length,25.5,,
77225,40376,mea,1,,width,17.1,,
77226,40376,mea,1,,length,14.5,,
77248,40384,mea,1,,width,45,,
77249,40384,mea,1,,length,15,,
77250,40385,mea,1,,width,34,,
77251,40385,mea,1,,length,15.4,,
77288,40398,mea,1,,width,23.5,,
77289,40398,mea,1,,length,15.1,,
77296,40401,mea,1,,width,29.2,,
77297,40401,mea,1,,length,23.1,,
77298,40402,mea,1,,width,24.8,,
77299,40402,mea,1,,length,17.9,,
77465,40466,mea,1,,width,42.3,,
77466,40466,mea,1,,length,33.3,,
77496,40477,mea,1,,width,25.6,,
77497,40477,mea,1,,length,14.7,,
77498,40478,mea,1,,width,22.8,,
77499,40478,mea,1,,length,15.5,,
77500,40479,mea,1,,width,19.7,,
77501,40479,mea,1,,length,14,,
77539,40494,mea,1,,width,28.2,,
77540,40494,mea,1,,length,15.8,,
77576,40507,mea,1,,width,23.7,,
77577,40507,mea,1,,length,12.2,,
77676,40545,mea,1,,width,54.1,,
77677,40545,mea,1,,length,37.2,,
77824,40595,mea,1,,width,20.6,,
77825,40595,mea,1,,length,16,,
77888,40618,mea,1,,width,17.1,,
77889,40618,mea,1,,length,14,,
77967,40651,mea,1,,width,61.7,,
77968,40651,mea,1,,length,34,,
78022,40672,mea,1,,width,44.4,,
78023,40672,mea,1,,length,27.6,,
78056,40687,mea,1,,width,49.4,,
78057,40687,mea,1,,length,29,,
78058,40688,mea,1,,width,13.4,,
78059,40688,mea,1,,length,21.8,,
78060,40689,mea,1,,width,13.3,,
78061,40689,mea,1,,length,23.2,,
78062,40690,mea,1,,width,29.1,,
78063,40690,mea,1,,length,24.1,,
78064,40691,mea,1,,width,2,,
78065,40691,mea,1,,length,17.1,,
78066,40692,mea,1,,width,23.2,,
78067,40692,mea,1,,length,15,,
78068,40693,mea,1,,width,16.3,,
78069,40693,mea,1,,length,10.2,,
78070,40694,mea,1,,width,22.9,,
78071,40694,mea,1,,length,12.9,,
78072,40695,mea,1,,width,19.6,,
78073,40695,mea,1,,length,12,,
78074,40696,mea,1,,width,25.4,,
78075,40696,mea,1,,length,20.3,,
78076,40697,mea,1,,width,23.2,,
78077,40697,mea,1,,length,13.2,,
78087,40701,mea,1,,width,22.3,,
78088,40701,mea,1,,length,14.6,,
78146,40721,mea,1,,width,41.3,,
78147,40721,mea,1,,length,28.9,,
78148,40722,mea,1,,width,32,,
78149,40722,mea,1,,length,31.3,,
78150,40723,mea,1,,width,33.8,,
78151,40723,mea,1,,length,22.9,,
78152,40724,mea,1,,width,39.2,,
78153,40724,mea,1,,length,33.7,,
78155,40725,mea,1,,width,16.3,,
78156,40725,mea,1,,length,15.3,,
78157,40725,mea,1,,height,12.2,,
78158,40726,mea,1,,width,21.7,,
78159,40726,mea,1,,length,19.3,,
78160,40727,mea,1,,width,15.3,,
78161,40727,mea,1,,length,14.1,,
78162,40727,mea,1,,height,9.5,,
78163,40728,mea,1,,width,17,,
78164,40728,mea,1,,length,15.9,,
78165,40728,mea,1,,height,28,,
78200,40746,mea,1,,length,5.3,,
78201,40746,mea,1,,height,13.9,,
78202,40747,mea,1,,length,11.5,,
78203,40747,mea,1,,height,25,,
78204,40748,mea,1,,length,5,,
78205,40748,mea,1,,height,12,,
78208,40750,mea,1,,length,10,,
78209,40750,mea,1,,height,23.2,,
78218,40755,mea,1,,length,19.6,,
78219,40755,mea,1,,height,8.1,,
78220,40756,mea,1,,length,17.6,,
78221,40756,mea,1,,height,8.5,,
78222,40757,mea,1,,length,14.7,,
78223,40757,mea,1,,height,7.6,,
78224,40758,mea,1,,length,13.3,,
78225,40758,mea,1,,height,6,,
78226,40759,mea,1,,length,13,,
78227,40759,mea,1,,height,5.5,,
78228,40760,mea,1,,length,11.8,,
78229,40760,mea,1,,height,5.7,,
78230,40761,mea,1,,length,10.7,,
78231,40761,mea,1,,height,5.2,,
78232,40762,mea,1,,length,10,,
78233,40762,mea,1,,height,5.4,,
78234,40763,mea,1,,length,9.3,,
78235,40763,mea,1,,height,5,,
78236,40764,mea,1,,length,6.1,,
78237,40764,mea,1,,height,3.1,,
78238,40765,mea,1,,length,28.4,,
78239,40765,mea,1,,height,15.9,,
78240,40766,mea,1,,length,27.2,,
78241,40766,mea,1,,height,15.4,,
78242,40767,mea,1,,length,23,,
78243,40767,mea,1,,height,14,,
78244,40768,mea,1,,length,20.5,,
78245,40768,mea,1,,height,10.8,,
78246,40769,mea,1,,length,18.7,,
78247,40769,mea,1,,height,11.3,,
78248,40770,mea,1,,length,16.6,,
78249,40770,mea,1,,height,9.3,,
78250,40771,mea,1,,length,15.3,,
78251,40771,mea,1,,height,9,,
78252,40772,mea,1,,length,14.3,,
78253,40772,mea,1,,height,8.7,,
78254,40773,mea,1,,length,18.2,,
78255,40773,mea,1,,height,9,,
78256,40774,mea,1,,length,15.9,,
78257,40774,mea,1,,height,8,,
78258,40775,mea,1,,length,15.2,,
78259,40775,mea,1,,height,9.4,,
78260,40776,mea,1,,length,14.9,,
78261,40776,mea,1,,height,8.9,,
78262,40777,mea,1,,length,14.5,,
78263,40777,mea,1,,height,8,,
78264,40778,mea,1,,length,12.2,,
78265,40778,mea,1,,height,6.5,,
78266,40779,mea,1,,length,11.4,,
78267,40779,mea,1,,height,5.8,,
78268,40780,mea,1,,length,10.5,,
78269,40780,mea,1,,height,5.5,,
78270,40781,mea,1,,length,10.1,,
78271,40781,mea,1,,height,6.2,,
78272,40782,mea,1,,length,9.5,,
78273,40782,mea,1,,height,6.4,,
78274,40783,mea,1,,length,7,,
78275,40783,mea,1,,height,4.5,,
78276,40784,mea,1,,length,5.8,,
78277,40784,mea,1,,height,3.8,,
78278,40785,mea,1,,length,50.3,,
78279,40785,mea,1,,height,22.9,,
78280,40786,mea,1,,length,55,,
78281,40786,mea,1,,height,2.24,,
78282,40787,mea,1,,length,35.8,,
78283,40787,mea,1,,height,11.5,,
78284,40788,mea,1,,length,30.8,,
78285,40788,mea,1,,height,12.5,,
78286,40789,mea,1,,length,34.7,,
78287,40789,mea,1,,height,18.6,,
78288,40790,mea,1,,length,23.45,,
78289,40790,mea,1,,height,10.6,,
78290,40791,mea,1,,length,17.4,,
78291,40791,mea,1,,height,8.25,,
78292,40792,mea,1,,length,35.4,,
78293,40792,mea,1,,height,21.3,,
78294,40793,mea,1,,length,31.6,,
78295,40793,mea,1,,height,18.6,,
78296,40794,mea,1,,length,28.8,,
78297,40794,mea,1,,height,18.7,,
78298,40795,mea,1,,length,11,,
78299,40795,mea,1,,height,8.1,,
78300,40796,mea,1,,length,17.3,,
78301,40796,mea,1,,height,14.5,,
78302,40797,mea,1,,length,31.9,,
78303,40797,mea,1,,height,25,,
78477,40874,mea,1,,width,2.3,,
78478,40874,mea,1,,length,9,,
78479,40875,mea,1,,width,1.9,,
78480,40875,mea,1,,length,8.4,,
78481,40876,mea,1,,length,2.8,,
78482,40877,mea,1,,length,9.6,,
78483,40878,mea,1,,length,16,,
78484,40879,mea,1,,length,10.5,,
78485,40880,mea,1,,length,8,,
78486,40881,mea,1,,length,8,,
78487,40882,mea,1,,length,9,,
78488,40883,mea,1,,length,6.4,,
78489,40884,mea,1,,length,5,,
78490,40885,mea,1,,length,4,,
78491,40886,mea,1,,length,5.8,,
78492,40887,mea,1,,length,4.8,,
78493,40888,mea,1,,length,4,,
78494,40889,mea,1,,length,16.8,,
78495,40890,mea,1,,length,17,,
78496,40891,mea,1,,length,14,,
78497,40892,mea,1,,length,10.8,,
78498,40893,mea,1,,length,6,,
78499,40894,mea,1,,width,2.6,,
78500,40894,mea,1,,length,7.7,,
78501,40895,mea,1,,width,0.7,,
78502,40895,mea,1,,length,0.9,,
78503,40896,mea,1,,width,2.6,,
78504,40896,mea,1,,length,7.5,,
78505,40897,mea,1,,width,0.7,,
78506,40897,mea,1,,length,0.8,,
78507,40898,mea,1,,width,3.6,,
78508,40898,mea,1,,length,10.1,,
78509,40899,mea,1,,width,0.8,,
78510,40899,mea,1,,length,0.9,,
78511,40900,mea,1,,width,1.3,,
78512,40900,mea,1,,length,4.6,,
78513,40901,mea,1,,width,1.2,,
78514,40901,mea,1,,length,4,,
78515,40902,mea,1,,width,2.1,,
78516,40902,mea,1,,length,5,,
78519,40905,mea,1,,length,47,,
78520,40906,mea,1,,length,24,,
78521,40907,mea,1,,length,23,,
81349,40907,mea,1,,width,7,,
78522,40908,mea,1,,length,14,,
81360,40908,mea,1,,width,5,,
78523,40909,mea,1,,length,22,,
78524,40910,mea,1,,length,20,,
78525,40911,mea,1,,length,16,,
78555,40924,mea,1,,length,13.2,,
78556,40925,mea,1,,width,2.3,,
78557,40925,mea,1,,length,4,,
78558,40926,mea,1,,width,4.6,,
78559,40926,mea,1,,length,11,,
78610,40947,mea,1,,width,12.5,,
78611,40947,mea,1,,length,72,,
79569,41277,mea,1,,length,70,,
79570,41278,mea,1,,length,45,,
79571,41279,mea,1,,length,33,,
79572,41280,mea,1,,length,65,,
79573,41281,mea,1,,length,65,,
79574,41282,mea,1,,length,125,,
79575,41283,mea,1,,length,50,,
79576,41284,mea,1,,length,33,,
79577,41285,mea,1,,length,36,,
79578,41286,mea,1,,length,32,,
79579,41287,mea,1,,length,25,,
79580,41288,mea,1,,length,26,,
79581,41289,mea,1,,length,25,,
79582,41290,mea,1,,length,28,,
79842,41423,mea,1,,length,14,,
79843,41424,mea,1,,length,14,,
79844,41425,mea,1,,length,18,,
79845,41426,mea,1,,length,16,,
79846,41427,mea,1,,width,29,,
79847,41427,mea,1,,length,23.7,,
79848,41428,mea,1,,width,38.7,,
79849,41428,mea,1,,length,24.6,,
79850,41429,mea,1,,width,20.8,,
79851,41429,mea,1,,length,16.5,,
79852,41430,mea,1,,width,33.2,,
79853,41430,mea,1,,length,22,,
79854,41431,mea,1,,width,25.3,,
79855,41431,mea,1,,length,21.4,,
79856,41432,mea,1,,width,24.3,,
79857,41432,mea,1,,length,15.8,,
79858,41433,mea,1,,width,24.6,,
79859,41433,mea,1,,length,19.5,,
79860,41434,mea,1,,width,29.2,,
79861,41434,mea,1,,length,18,,
79862,41435,mea,1,,width,34.4,,
79863,41435,mea,1,,length,16.9,,
79864,41436,mea,1,,width,25.2,,
79865,41436,mea,1,,length,16.9,,
79866,41437,mea,1,,width,24.1,,
79867,41437,mea,1,,length,13.7,,
79868,41438,mea,1,,length,4.2,,
79869,41439,mea,1,,width,1.4,,
79870,41439,mea,1,,length,4,,
79871,41440,mea,1,,width,19.7,,
79872,41440,mea,1,,length,14.6,,
79873,41441,mea,1,,width,33,,
79874,41441,mea,1,,length,22.3,,
79875,41442,mea,1,,width,15.9,,
79876,41442,mea,1,,length,13.7,,
79877,41443,mea,1,,width,24.7,,
79878,41443,mea,1,,length,19.1,,
79879,41444,mea,1,,width,31.7,,
79880,41444,mea,1,,length,22.8,,
79881,41445,mea,1,,width,24.8,,
79882,41445,mea,1,,length,22.4,,
79883,41446,mea,1,,width,22.7,,
79884,41446,mea,1,,length,17.8,,
79885,41447,mea,1,,width,32.5,,
79886,41447,mea,1,,length,23.5,,
79887,41448,mea,1,,width,57,,
79888,41448,mea,1,,length,36.5,,
79889,41449,mea,1,,width,59.2,,
79890,41449,mea,1,,length,43.2,,
79891,41450,mea,1,,width,23.6,,
79892,41450,mea,1,,length,15.1,,
79893,41451,mea,1,,width,49.4,,
79894,41451,mea,1,,length,37.7,,
79895,41452,mea,1,,width,14.7,,
79896,41452,mea,1,,length,12.6,,
79897,41453,mea,1,,width,20,,
79898,41453,mea,1,,length,19.3,,
79899,41454,mea,1,,width,32.5,,
79900,41454,mea,1,,length,19.2,,
79901,41455,mea,1,,width,30.9,,
79902,41455,mea,1,,length,14.7,,
79903,41456,mea,1,,width,34.6,,
79904,41456,mea,1,,length,19.1,,
79905,41457,mea,1,,width,48,,
79906,41457,mea,1,,length,41.9,,
79907,41458,mea,1,,width,37.8,,
79908,41458,mea,1,,length,20.6,,
79909,41459,mea,1,,width,22.8,,
79910,41459,mea,1,,length,18,,
79911,41460,mea,1,,width,78,,
79912,41460,mea,1,,length,52,,
79913,41461,mea,1,,width,69,,
79914,41461,mea,1,,length,41,,
79915,41462,mea,1,,width,42,,
79916,41462,mea,1,,length,37.6,,
79917,41462,mea,1,,height,24.6,,
79918,41463,mea,1,,width,63,,
79919,41463,mea,1,,length,47.5,,
79920,41463,mea,1,,height,23.7,,
79921,41464,mea,1,,width,25.3,,
79922,41464,mea,1,,length,17.1,,
81797,41464,mea,1,,height,10.9,,
79923,41465,mea,1,,width,15.6,,
